,OLIVER BJORKSTRAND,PIERRE-LUC DUBOIS,SETH JONES,CAM ATKINSON,ARTEMI PANARIN
OLIVER BJORKSTRAND,0.0,7.0,11.0,0.0,3.0
PIERRE-LUC DUBOIS,7.0,0.0,11.0,10.0,27.0
SETH JONES,11.0,11.0,0.0,21.0,28.0
CAM ATKINSON,0.0,10.0,21.0,0.0,34.0
ARTEMI PANARIN,3.0,27.0,28.0,34.0,0.0
