,ADAM HENRIQUE,ONDREJ KASE,COREY PERRY,RYAN GETZLAF,RICKARD RAKELL
ADAM HENRIQUE,0.0,12.0,15.0,5.0,12.0
ONDREJ KASE,12.0,0.0,2.0,7.0,3.0
COREY PERRY,15.0,2.0,0.0,17.0,30.0
RYAN GETZLAF,5.0,7.0,17.0,0.0,44.0
RICKARD RAKELL,12.0,3.0,30.0,44.0,0.0
