,NICK BJUGSTAD,EVGENY DADONOV,JONATHAN HUBERDEAU,VINCENT TROCHECK,ALEKSANDER BARKOV
NICK BJUGSTAD,0.0,26.0,6.0,2.0,19.0
EVGENY DADONOV,26.0,0.0,27.0,13.0,44.0
JONATHAN HUBERDEAU,6.0,27.0,0.0,37.0,25.0
VINCENT TROCHECK,2.0,13.0,37.0,0.0,24.0
ALEKSANDER BARKOV,19.0,44.0,25.0,24.0,0.0
