,KYLE CONNOR,MARK SCHEIFELE,NIKOLAJ EHLERS,PATRIK LAINE,BLAKE WHEELER
KYLE CONNOR,0.0,23.0,0.0,14.0,47.0
MARK SCHEIFELE,23.0,0.0,9.0,12.0,46.0
NIKOLAJ EHLERS,0.0,9.0,0.0,28.0,15.0
PATRIK LAINE,14.0,12.0,28.0,0.0,39.0
BLAKE WHEELER,47.0,46.0,15.0,39.0,0.0
