,VICTOR HEDMAN,YANNI GOURDE,BRAYDEN POINT,STEVEN STAMKOS,NIKITA KUCHEROV
VICTOR HEDMAN,0.0,8.0,3.0,30.0,32.0
YANNI GOURDE,8.0,0.0,21.0,6.0,3.0
BRAYDEN POINT,3.0,21.0,0.0,6.0,11.0
STEVEN STAMKOS,30.0,6.0,6.0,0.0,61.0
NIKITA KUCHEROV,32.0,3.0,11.0,61.0,0.0
