,ALEX GOLIGOSKI,CHRISTIAN DVORAK,MAX DOMI,DEREK STEPAN,CLAYTON KELLER
ALEX GOLIGOSKI,0.0,2.0,6.0,7.0,11.0
CHRISTIAN DVORAK,2.0,0.0,12.0,2.0,6.0
MAX DOMI,6.0,12.0,0.0,6.0,10.0
DEREK STEPAN,7.0,2.0,6.0,0.0,22.0
CLAYTON KELLER,11.0,6.0,10.0,22.0,0.0
