,ADRIAN KEMPE,TYLER TOFFOLI,DREW DOUGHTY,DUSTIN BROWN,ANZE KOPITAR
ADRIAN KEMPE,0.0,7.0,7.0,3.0,2.0
TYLER TOFFOLI,7.0,0.0,7.0,6.0,16.0
DREW DOUGHTY,7.0,7.0,0.0,19.0,25.0
DUSTIN BROWN,3.0,6.0,19.0,0.0,54.0
ANZE KOPITAR,2.0,16.0,25.0,54.0,0.0
