,PAUL STASTNY,KEVIN SHATTENKIRK,DAVID BACKES,ALEXANDER STEEN,VLADIMIR TARASENKO
PAUL STASTNY,0.0,10.0,1.0,12.0,11.0
KEVIN SHATTENKIRK,10.0,0.0,12.0,15.0,28.0
DAVID BACKES,1.0,12.0,0.0,14.0,18.0
ALEXANDER STEEN,12.0,15.0,14.0,0.0,26.0
VLADIMIR TARASENKO,11.0,28.0,18.0,26.0,0.0
