,MIKKEL BOEDKER,ANTHONY DUCLAIR,OLIVER EKMAN-LARSSON,SHANE DOAN,MAX DOMI
MIKKEL BOEDKER,0.0,0.0,16.0,9.0,11.0
ANTHONY DUCLAIR,0.0,0.0,13.0,0.0,22.0
OLIVER EKMAN-LARSSON,16.0,13.0,0.0,15.0,17.0
SHANE DOAN,9.0,0.0,15.0,0.0,7.0
MAX DOMI,11.0,22.0,17.0,7.0,0.0
