,SCOTT HARTNELL,BRANDON DUBINSKY,BRANDON SAAD,BOONE JENNER,CAM ATKINSON
SCOTT HARTNELL,0.0,2.0,21.0,3.0,15.0
BRANDON DUBINSKY,2.0,0.0,9.0,9.0,33.0
BRANDON SAAD,21.0,9.0,0.0,9.0,6.0
BOONE JENNER,3.0,9.0,9.0,0.0,20.0
CAM ATKINSON,15.0,33.0,6.0,20.0,0.0
