,JOHN KLINGBERG,PATRICK SHARP,JASON SPEZZA,TYLER SEGUIN,JAMIE BENN
JOHN KLINGBERG,0.0,16.0,15.0,29.0,12.0
PATRICK SHARP,16.0,0.0,18.0,25.0,30.0
JASON SPEZZA,15.0,18.0,0.0,11.0,29.0
TYLER SEGUIN,29.0,25.0,11.0,0.0,60.0
JAMIE BENN,12.0,30.0,29.0,60.0,0.0
