,RYAN SPOONER,DAVID KREJCI,PATRICE BERGERON,LOUI ERIKSSON,BRAD MARCHAND
RYAN SPOONER,0.0,4.0,22.0,21.0,2.0
DAVID KREJCI,4.0,0.0,8.0,39.0,3.0
PATRICE BERGERON,22.0,8.0,0.0,13.0,41.0
LOUI ERIKSSON,21.0,39.0,13.0,0.0,3.0
BRAD MARCHAND,2.0,3.0,41.0,3.0,0.0
