,RYAN NUGENT-HOPKINS,CONNOR MCDAVID,LEON DRAISAITL,JORDAN EBERLE,TAYLOR HALL
RYAN NUGENT-HOPKINS,0.0,1.0,6.0,14.0,13.0
CONNOR MCDAVID,1.0,0.0,3.0,26.0,7.0
LEON DRAISAITL,6.0,3.0,0.0,3.0,46.0
JORDAN EBERLE,14.0,26.0,3.0,0.0,4.0
TAYLOR HALL,13.0,7.0,46.0,4.0,0.0
