,ANDREI MARKOV,BRENDAN GALLAGHER,TOMAS PLEKANEC,ALEX GALCHENYUK,MAX PACIORETTY
ANDREI MARKOV,0.0,7.0,7.0,20.0,13.0
BRENDAN GALLAGHER,7.0,0.0,28.0,2.0,29.0
TOMAS PLEKANEC,7.0,28.0,0.0,4.0,21.0
ALEX GALCHENYUK,20.0,2.0,4.0,0.0,32.0
MAX PACIORETTY,13.0,29.0,21.0,32.0,0.0
