,HENRIK ZETTERBERG,GUSTAV NYQUIST,PAVEL DATSYUK,JUSTIN ABDELKADER,DYLAN LARKIN
HENRIK ZETTERBERG,0.0,12.0,14.0,25.0,27.0
GUSTAV NYQUIST,12.0,0.0,5.0,9.0,0.0
PAVEL DATSYUK,14.0,5.0,0.0,13.0,1.0
JUSTIN ABDELKADER,25.0,9.0,13.0,0.0,15.0
DYLAN LARKIN,27.0,0.0,1.0,15.0,0.0
