,ALEX KILLORN,ONDREJ PALAT,TYLER JOHNSON,STEVEN STAMKOS,NIKITA KUCHEROV
ALEX KILLORN,0.0,4.0,6.0,14.0,13.0
ONDREJ PALAT,4.0,0.0,14.0,16.0,7.0
TYLER JOHNSON,6.0,14.0,0.0,6.0,26.0
STEVEN STAMKOS,14.0,16.0,6.0,0.0,27.0
NIKITA KUCHEROV,13.0,7.0,26.0,27.0,0.0
