,SVEN BAERTSCHI,BO HORVAT,JANNIK HANSEN,HENRIK SEDIN,DANIEL SEDIN
SVEN BAERTSCHI,0.0,24.0,1.0,2.0,4.0
BO HORVAT,24.0,0.0,3.0,0.0,0.0
JANNIK HANSEN,1.0,3.0,0.0,18.0,22.0
HENRIK SEDIN,2.0,0.0,18.0,0.0,49.0
DANIEL SEDIN,4.0,0.0,22.0,49.0,0.0
