,SHAYNE GOSTISBEHERE,JAKUB VORACEK,BRAYDEN SCHENN,CLAUDE GIROUX,WAYNE SIMMONDS
SHAYNE GOSTISBEHERE,0.0,20.0,11.0,21.0,16.0
JAKUB VORACEK,20.0,0.0,8.0,26.0,20.0
BRAYDEN SCHENN,11.0,8.0,0.0,31.0,32.0
CLAUDE GIROUX,21.0,26.0,31.0,0.0,29.0
WAYNE SIMMONDS,16.0,20.0,32.0,29.0,0.0
