,JT MILLER,CHRIS KREIDER,DEREK STEPAN,DERICK BRASSARD,MATS ZUCCARELLO
JT MILLER,0.0,4.0,13.0,14.0,6.0
CHRIS KREIDER,4.0,0.0,23.0,8.0,18.0
DEREK STEPAN,13.0,23.0,0.0,6.0,27.0
DERICK BRASSARD,14.0,8.0,6.0,0.0,27.0
MATS ZUCCARELLO,6.0,18.0,27.0,27.0,0.0
