,JOE COLBORNE,MIKAEL BACKLUND,MARK GIORDANO,SEAN MONAHAN,JOHNNY GAUDREAU
JOE COLBORNE,0.0,15.0,12.0,6.0,5.0
MIKAEL BACKLUND,15.0,0.0,11.0,0.0,7.0
MARK GIORDANO,12.0,11.0,0.0,16.0,28.0
SEAN MONAHAN,6.0,0.0,16.0,0.0,54.0
JOHNNY GAUDREAU,5.0,7.0,28.0,54.0,0.0
