,MARTIN NECAS,DOUGIE HAMILTON,ANDREI SVECHNIKOV,TEUVO TERAVAINEN,SEBASTIAN AHO
MARTIN NECAS,0.0,6.0,0.0,2.0,1.0
DOUGIE HAMILTON,6.0,0.0,17.0,14.0,11.0
ANDREI SVECHNIKOV,0.0,17.0,0.0,24.0,27.0
TEUVO TERAVAINEN,2.0,14.0,24.0,0.0,43.0
SEBASTIAN AHO,1.0,11.0,27.0,43.0,0.0
