,CALLE JARNKROK,NICK BONINO,MATT DUCHENE,ROMAN JOSI,FILIP FORSBERG
CALLE JARNKROK,0.0,0.0,7.0,11.0,5.0
NICK BONINO,0.0,0.0,0.0,0.0,0.0
MATT DUCHENE,7.0,0.0,0.0,15.0,17.0
ROMAN JOSI,11.0,0.0,15.0,0.0,17.0
FILIP FORSBERG,5.0,0.0,17.0,17.0,0.0
