,ZACH HYMAN,MITCHELL MARNER,JOHN TAVARES,WILLIAM NYLANDER,AUSTON MATTHEWS
ZACH HYMAN,0.0,19.0,6.0,0.0,17.0
MITCHELL MARNER,19.0,0.0,15.0,10.0,43.0
JOHN TAVARES,6.0,15.0,0.0,24.0,22.0
WILLIAM NYLANDER,0.0,10.0,24.0,0.0,40.0
AUSTON MATTHEWS,17.0,43.0,22.0,40.0,0.0
