,SHEA THEODORE,PAUL STASTNY,WILLIAM KARLSSON,REILLY SMITH,JONATHAN MARCHESSAULT,MARK STONE,MAX PACIORETTY
SHEA THEODORE,0.0,12.0,4.0,5.0,7.0,7.0,15.0
PAUL STASTNY,0.0,0.0,0.0,12.0,8.0,11.0,16.0
WILLIAM KARLSSON,0.0,0.0,0.0,21.0,19.0,4.0,18.0
REILLY SMITH,0.0,0.0,0.0,0.0,37.0,0.0,3.0
JONATHAN MARCHESSAULT,0.0,0.0,0.0,0.0,0.0,8.0,4.0
MARK STONE,0.0,0.0,0.0,0.0,0.0,0.0,44.0
MAX PACIORETTY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
