,NICK FOLIGNO,ZACH WERENSKI,OLIVER BJORKSTRAND,GUSTAV NYQUIST,PIERRE-LUC DUBOIS
NICK FOLIGNO,0.0,6.0,4.0,9.0,8.0
ZACH WERENSKI,6.0,0.0,4.0,12.0,10.0
OLIVER BJORKSTRAND,4.0,4.0,0.0,17.0,17.0
GUSTAV NYQUIST,9.0,12.0,17.0,0.0,16.0
PIERRE-LUC DUBOIS,8.0,10.0,17.0,16.0,0.0
