,ANDREAS ATHANASIOU,ROBBY FABBRI,ANTHONY MANTHA,TYLER BERTUZZI,DYLAN LARKIN
ANDREAS ATHANASIOU,0.0,7.0,7.0,6.0,4.0
ROBBY FABBRI,7.0,0.0,8.0,12.0,17.0
ANTHONY MANTHA,7.0,8.0,0.0,16.0,21.0
TYLER BERTUZZI,6.0,12.0,16.0,0.0,35.0
DYLAN LARKIN,4.0,17.0,21.0,35.0,0.0
