,JAMES NEAL,ZACK KASSIAN,RYAN NUGENT-HOPKINS,CONNOR MCDAVID,LEON DRAISAITL
JAMES NEAL,0.0,6.0,12.0,22.0,16.0
ZACK KASSIAN,6.0,0.0,0.0,31.0,18.0
RYAN NUGENT-HOPKINS,12.0,0.0,0.0,16.0,49.0
CONNOR MCDAVID,22.0,31.0,16.0,0.0,64.0
LEON DRAISAITL,16.0,18.0,49.0,64.0,0.0
