,TYLER ENNIS,CONNOR BROWN,JEAN-GABRIEL PAGEAU,ANTHONY DUCLAIR,BRADY TKACHUK
TYLER ENNIS,0.0,5.0,5.0,5.0,4.0
CONNOR BROWN,5.0,0.0,8.0,0.0,12.0
JEAN-GABRIEL PAGEAU,5.0,8.0,0.0,9.0,21.0
ANTHONY DUCLAIR,5.0,0.0,9.0,0.0,14.0
BRADY TKACHUK,4.0,12.0,21.0,14.0,0.0
