,JACK ROSLOVIC,NEAL PIONK,NIKOLAJ EHLERS,PATRIK LAINE,BLAKE WHEELER,MARK SCHEIFELE,KYLE CONNOR
JACK ROSLOVIC,0.0,4.0,15.0,0.0,12.0,3.0,1.0
NEAL PIONK,0.0,0.0,9.0,21.0,12.0,14.0,14.0
NIKOLAJ EHLERS,0.0,0.0,0.0,7.0,34.0,12.0,9.0
PATRIK LAINE,0.0,0.0,0.0,0.0,24.0,24.0,34.0
BLAKE WHEELER,0.0,0.0,0.0,0.0,0.0,27.0,18.0
MARK SCHEIFELE,0.0,0.0,0.0,0.0,0.0,0.0,52.0
KYLE CONNOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
