,TOREY KRUG,CHARLIE COYLE,PATRICE BERGERON,BRAD MARCHAND,DAVID PASTRNAK
TOREY KRUG,0.0,4.0,14.0,14.0,33.0
CHARLIE COYLE,4.0,0.0,1.0,10.0,3.0
PATRICE BERGERON,14.0,1.0,0.0,47.0,49.0
BRAD MARCHAND,14.0,10.0,47.0,0.0,65.0
DAVID PASTRNAK,33.0,3.0,49.0,65.0,0.0
