,ANTHONY DEANGELO,CHRIS KREIDER,RYAN STROME,MIKA ZIBANEJAD,ARTEMI PANARIN
ANTHONY DEANGELO,0.0,7.0,13.0,16.0,20.0
CHRIS KREIDER,7.0,0.0,10.0,33.0,20.0
RYAN STROME,13.0,10.0,0.0,8.0,37.0
MIKA ZIBANEJAD,16.0,33.0,8.0,0.0,42.0
ARTEMI PANARIN,20.0,20.0,37.0,42.0,0.0
