,MIKAEL BACKLUND,SEAN MONAHAN,JOHNNY GAUDREAU,ELIAS LINDHOLM,MATTHEW TKACHUK
MIKAEL BACKLUND,0.0,4.0,2.0,1.0,19.0
SEAN MONAHAN,4.0,0.0,42.0,16.0,17.0
JOHNNY GAUDREAU,2.0,42.0,0.0,27.0,12.0
ELIAS LINDHOLM,1.0,16.0,27.0,0.0,25.0
MATTHEW TKACHUK,19.0,17.0,12.0,25.0,0.0
