,ALEX KILLORN,VICTOR HEDMAN,BRAYDEN POINT,STEVEN STAMKOS,NIKITA KUCHEROV
ALEX KILLORN,0.0,12.0,8.0,16.0,12.0
VICTOR HEDMAN,12.0,0.0,14.0,25.0,17.0
BRAYDEN POINT,8.0,14.0,0.0,28.0,51.0
STEVEN STAMKOS,16.0,25.0,28.0,0.0,41.0
NIKITA KUCHEROV,12.0,17.0,51.0,41.0,0.0
