,TAYLOR HALL,CARL SODERBERG,PHIL KESSEL,NICK SCHMALTZ,CHRISTIAN DVORAK,CLAYTON KELLER,CONOR GARLAND
TAYLOR HALL,0.0,2.0,6.0,2.0,12.0,3.0,17.0
CARL SODERBERG,0.0,0.0,6.0,12.0,0.0,9.0,10.0
PHIL KESSEL,0.0,0.0,0.0,4.0,11.0,19.0,3.0
NICK SCHMALTZ,0.0,0.0,0.0,0.0,9.0,11.0,13.0
CHRISTIAN DVORAK,0.0,0.0,0.0,0.0,0.0,10.0,17.0
CLAYTON KELLER,0.0,0.0,0.0,0.0,0.0,0.0,4.0
CONOR GARLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
