,BRANDON SAAD,ALEX DEBRINCAT,DOMINIK KUBALIK,JONATHAN TOEWS,PATRICK KANE
BRANDON SAAD,0.0,2.0,6.0,15.0,16.0
ALEX DEBRINCAT,2.0,0.0,3.0,8.0,33.0
DOMINIK KUBALIK,6.0,3.0,0.0,33.0,20.0
JONATHAN TOEWS,15.0,8.0,33.0,0.0,20.0
PATRICK KANE,16.0,33.0,20.0,20.0,0.0
