,KRIS LETANG,SIDNEY CROSBY,JAKE GUENTZEL,BRYAN RUST,EVGENI MALKIN
KRIS LETANG,0.0,14.0,10.0,12.0,20.0
SIDNEY CROSBY,14.0,0.0,11.0,7.0,10.0
JAKE GUENTZEL,10.0,11.0,0.0,21.0,31.0
BRYAN RUST,12.0,7.0,21.0,0.0,51.0
EVGENI MALKIN,20.0,10.0,31.0,51.0,0.0
