,VINCENT TROCHECK,EVGENY DADONOV,ALEKSANDER BARKOV,MIKE HOFFMAN,JONATHAN HUBERDEAU
VINCENT TROCHECK,0.0,0.0,0.0,8.0,6.0
EVGENY DADONOV,0.0,0.0,31.0,13.0,45.0
ALEKSANDER BARKOV,0.0,31.0,0.0,7.0,36.0
MIKE HOFFMAN,8.0,13.0,7.0,0.0,21.0
JONATHAN HUBERDEAU,6.0,45.0,36.0,21.0,0.0
