,MATHIEU PERREAULT,ANDREW COGLIANO,NICK BONINO,RYAN GETZLAF,COREY PERRY
MATHIEU PERREAULT,0.0,0.0,0.0,7.0,4.0
ANDREW COGLIANO,0.0,0.0,2.0,1.0,1.0
NICK BONINO,0.0,2.0,0.0,13.0,15.0
RYAN GETZLAF,7.0,1.0,13.0,0.0,62.0
COREY PERRY,4.0,1.0,15.0,62.0,0.0
