,VINCENT LECAVALIER,SCOTT HARTNELL,JAKUB VORACEK,WAYNE SIMMONDS,CLAUDE GIROUX
VINCENT LECAVALIER,0.0,0.0,4.0,14.0,10.0
SCOTT HARTNELL,0.0,0.0,16.0,23.0,34.0
JAKUB VORACEK,4.0,16.0,0.0,18.0,49.0
WAYNE SIMMONDS,14.0,23.0,18.0,0.0,27.0
CLAUDE GIROUX,10.0,34.0,49.0,27.0,0.0
