,TOMAS TATAR,HENRIK ZETTERBERG,DANIEL ALFREDSSON,JOHAN FRANZEN,GUSTAV NYQUIST
TOMAS TATAR,0.0,0.0,2.0,4.0,5.0
HENRIK ZETTERBERG,0.0,0.0,7.0,6.0,16.0
DANIEL ALFREDSSON,2.0,7.0,0.0,7.0,11.0
JOHAN FRANZEN,4.0,6.0,7.0,0.0,22.0
GUSTAV NYQUIST,5.0,16.0,11.0,22.0,0.0
