,ROMAN JOSI,SHEA WEBER,MIKE FISHER,CRAIG SMITH,PATRIC HORNQVIST
ROMAN JOSI,0.0,17.0,2.0,11.0,6.0
SHEA WEBER,17.0,0.0,18.0,5.0,21.0
MIKE FISHER,2.0,18.0,0.0,2.0,32.0
CRAIG SMITH,11.0,5.0,2.0,0.0,0.0
PATRIC HORNQVIST,6.0,21.0,32.0,0.0,0.0
