,JASON GARRISON,HENRIK SEDIN,RYAN KESLER,CHRIS HIGGINS,DANIEL SEDIN
JASON GARRISON,0.0,8.0,10.0,4.0,8.0
HENRIK SEDIN,8.0,0.0,15.0,2.0,31.0
RYAN KESLER,10.0,15.0,0.0,19.0,20.0
CHRIS HIGGINS,4.0,2.0,19.0,0.0,0.0
DANIEL SEDIN,8.0,31.0,20.0,0.0,0.0
