,BRIAN CAMPBELL,SEAN BERGENHEIM,SCOTTIE UPSHALL,BRAD BOYES,NICK BJUGSTAD
BRIAN CAMPBELL,0.0,6.0,9.0,10.0,4.0
SEAN BERGENHEIM,6.0,0.0,2.0,14.0,6.0
SCOTTIE UPSHALL,9.0,2.0,0.0,11.0,14.0
BRAD BOYES,10.0,14.0,11.0,0.0,7.0
NICK BJUGSTAD,4.0,6.0,14.0,7.0,0.0
