,BOBBY RYAN,CLARKE MACARTHUR,ERIK KARLSSON,KYLE TURRIS,JASON SPEZZA
BOBBY RYAN,0.0,24.0,11.0,22.0,7.0
CLARKE MACARTHUR,24.0,0.0,22.0,31.0,10.0
ERIK KARLSSON,11.0,22.0,0.0,19.0,33.0
KYLE TURRIS,22.0,31.0,19.0,0.0,2.0
JASON SPEZZA,7.0,10.0,33.0,2.0,0.0
