,PATRICK SHARP,BRANDON SAAD,MARIAN HOSSA,JONATHAN TOEWS,PATRICK KANE
PATRICK SHARP,0.0,3.0,6.0,9.0,28.0
BRANDON SAAD,3.0,0.0,30.0,24.0,8.0
MARIAN HOSSA,6.0,30.0,0.0,32.0,4.0
JONATHAN TOEWS,9.0,24.0,32.0,0.0,20.0
PATRICK KANE,28.0,8.0,4.0,20.0,0.0
