,CHRIS HIGGINS,NICK BONINO,HENRIK SEDIN,RADIM VRBATA,DANIEL SEDIN
CHRIS HIGGINS,0.0,20.0,1.0,10.0,0.0
NICK BONINO,20.0,0.0,2.0,13.0,2.0
HENRIK SEDIN,1.0,2.0,0.0,25.0,54.0
RADIM VRBATA,10.0,13.0,25.0,0.0,47.0
DANIEL SEDIN,0.0,2.0,54.0,47.0,0.0
