,TEDDY PURCELL,TAYLOR HALL,BENOIT POULIOT,RYAN NUGENT-HOPKINS,JORDAN EBERLE
TEDDY PURCELL,0.0,5.0,2.0,7.0,1.0
TAYLOR HALL,5.0,0.0,7.0,13.0,26.0
BENOIT POULIOT,2.0,7.0,0.0,15.0,21.0
RYAN NUGENT-HOPKINS,7.0,13.0,15.0,0.0,36.0
JORDAN EBERLE,1.0,26.0,21.0,36.0,0.0
