,TREVOR DALEY,ERIK COLE,JASON SPEZZA,JAMIE BENN,TYLER SEGUIN
TREVOR DALEY,0.0,3.0,12.0,12.0,12.0
ERIK COLE,3.0,0.0,17.0,4.0,4.0
JASON SPEZZA,12.0,17.0,0.0,21.0,33.0
JAMIE BENN,12.0,4.0,21.0,0.0,57.0
TYLER SEGUIN,12.0,4.0,33.0,57.0,0.0
