,LANCE BOUMA,DENNIS WIDEMAN,JOHNNY GAUDREAU,SEAN MONAHAN,JIRI HUDLER
LANCE BOUMA,0.0,7.0,0.0,0.0,6.0
DENNIS WIDEMAN,7.0,0.0,20.0,13.0,16.0
JOHNNY GAUDREAU,0.0,20.0,0.0,27.0,41.0
SEAN MONAHAN,0.0,13.0,27.0,0.0,38.0
JIRI HUDLER,6.0,16.0,41.0,38.0,0.0
