,MATS ZUCCARELLO,MARTIN ST. LOUIS,KEVIN HAYES,DEREK STEPAN,RICK NASH
MATS ZUCCARELLO,0.0,0.0,6.0,3.0,25.0
MARTIN ST. LOUIS,0.0,0.0,4.0,30.0,18.0
KEVIN HAYES,6.0,4.0,0.0,0.0,4.0
DEREK STEPAN,3.0,30.0,0.0,0.0,18.0
RICK NASH,25.0,18.0,4.0,18.0,0.0
