,NINO NIEDERREITER,MIKKO KOIVU,JASON POMINVILLE,THOMAS VANEK,ZACH PARISE
NINO NIEDERREITER,0.0,8.0,1.0,10.0,0.0
MIKKO KOIVU,8.0,0.0,8.0,8.0,13.0
JASON POMINVILLE,1.0,8.0,0.0,6.0,30.0
THOMAS VANEK,10.0,8.0,6.0,0.0,20.0
ZACH PARISE,0.0,13.0,30.0,20.0,0.0
