,MIKE SANTORELLI,NAZEM KADRI,TYLER BOZAK,PHIL KESSEL,JAMES VAN RIEMSDYK
MIKE SANTORELLI,0.0,10.0,0.0,2.0,3.0
NAZEM KADRI,10.0,0.0,1.0,10.0,10.0
TYLER BOZAK,0.0,1.0,0.0,36.0,34.0
PHIL KESSEL,2.0,10.0,36.0,0.0,36.0
JAMES VAN RIEMSDYK,3.0,10.0,34.0,36.0,0.0
