,DUSTIN BYFUGLIEN,MARK SCHEIFELE,MICHAEL FROLIK,MATHIEU PERREAULT,BRYAN LITTLE,ANDREW LADD,BLAKE WHEELER
DUSTIN BYFUGLIEN,0.0,6.0,2.0,14.0,8.0,11.0,8.0
MARK SCHEIFELE,0.0,0.0,10.0,18.0,2.0,5.0,18.0
MICHAEL FROLIK,0.0,0.0,0.0,11.0,4.0,15.0,2.0
MATHIEU PERREAULT,0.0,0.0,0.0,0.0,12.0,6.0,7.0
BRYAN LITTLE,0.0,0.0,0.0,0.0,0.0,50.0,24.0
ANDREW LADD,0.0,0.0,0.0,0.0,0.0,0.0,24.0
BLAKE WHEELER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
