,MARTIN HANZAL,MIKKEL BOEDKER,MARTIN ERAT,SHANE DOAN,ANTOINE VERMETTE,OLIVER EKMAN-LARSSON,SAM GAGNER
MARTIN HANZAL,0.0,0.0,14.0,0.0,2.0,5.0,10.0
MIKKEL BOEDKER,0.0,0.0,0.0,8.0,17.0,10.0,3.0
MARTIN ERAT,0.0,0.0,0.0,5.0,1.0,9.0,16.0
SHANE DOAN,0.0,0.0,0.0,0.0,16.0,10.0,4.0
ANTOINE VERMETTE,0.0,0.0,0.0,0.0,0.0,11.0,0.0
OLIVER EKMAN-LARSSON,0.0,0.0,0.0,0.0,0.0,0.0,15.0
SAM GAGNER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
