,JAROMIR JAGR,STEVE BERNIER,PATRIK ELIAS,ADAM HENRIQUE,MIKE CAMMALLERI
JAROMIR JAGR,0.0,0.0,0.0,9.0,17.0
STEVE BERNIER,0.0,0.0,2.0,13.0,8.0
PATRIK ELIAS,0.0,2.0,0.0,8.0,6.0
ADAM HENRIQUE,9.0,13.0,8.0,0.0,4.0
MIKE CAMMALLERI,17.0,8.0,6.0,4.0,0.0
