,ZEMGUS GIRGENSONS,CHRIS STEWART,BRIAN GIONTA,MATT MOULSON,TYLER ENNIS
ZEMGUS GIRGENSONS,0.0,8.0,2.0,7.0,11.0
CHRIS STEWART,8.0,0.0,0.0,0.0,10.0
BRIAN GIONTA,2.0,0.0,0.0,9.0,3.0
MATT MOULSON,7.0,0.0,9.0,0.0,36.0
TYLER ENNIS,11.0,10.0,3.0,36.0,0.0
