,LEE STEMPNIAK,CURTIS GLENCROSS,ALEX TANGUAY,OLLI JOKINEN,JAROME IGINLA
LEE STEMPNIAK,0.0,6.0,2.0,3.0,0.0
CURTIS GLENCROSS,6.0,0.0,5.0,28.0,25.0
ALEX TANGUAY,2.0,5.0,0.0,12.0,21.0
OLLI JOKINEN,3.0,28.0,12.0,0.0,45.0
JAROME IGINLA,0.0,25.0,21.0,45.0,0.0
