,JAROMIR JAGR,DANNY BRIERE,WAYNE SIMMONDS,SCOTT HARTNELL,CLAUDE GIROUX
JAROMIR JAGR,0.0,10.0,1.0,22.0,43.0
DANNY BRIERE,10.0,0.0,16.0,15.0,3.0
WAYNE SIMMONDS,1.0,16.0,0.0,13.0,27.0
SCOTT HARTNELL,22.0,15.0,13.0,0.0,51.0
CLAUDE GIROUX,43.0,3.0,27.0,51.0,0.0
