,JIRI HUDLER,JOHAN FRANZEN,PAVEL DATSYUK,VALTTERI FILPPULA,HENRIK ZETTERBERG
JIRI HUDLER,0.0,6.0,4.0,39.0,36.0
JOHAN FRANZEN,6.0,0.0,32.0,15.0,6.0
PAVEL DATSYUK,4.0,32.0,0.0,2.0,19.0
VALTTERI FILPPULA,39.0,15.0,2.0,0.0,43.0
HENRIK ZETTERBERG,36.0,6.0,19.0,43.0,0.0
