,KYLE WELLWOOD,BRYAN LITTLE,ANDREW LADD,EVANDER KANE,BLAKE WHEELER
KYLE WELLWOOD,0.0,2.0,15.0,19.0,4.0
BRYAN LITTLE,2.0,0.0,24.0,12.0,40.0
ANDREW LADD,15.0,24.0,0.0,3.0,23.0
EVANDER KANE,19.0,12.0,3.0,0.0,14.0
BLAKE WHEELER,4.0,40.0,23.0,14.0,0.0
