,SERGEI KOSTITSYN,MARTIN ERAT,SHEA WEBER,MIKE FISHER,DAVID LEGWAND
SERGEI KOSTITSYN,0.0,14.0,4.0,22.0,6.0
MARTIN ERAT,14.0,0.0,17.0,31.0,5.0
SHEA WEBER,4.0,17.0,0.0,11.0,10.0
MIKE FISHER,22.0,31.0,11.0,0.0,1.0
DAVID LEGWAND,6.0,5.0,10.0,1.0,0.0
