,PATRIK BERGLUND,ALEX PIETRANGELO,DAVID PERRON,DAVID BACKES,TJ OSHIE
PATRIK BERGLUND,0.0,10.0,11.0,0.0,10.0
ALEX PIETRANGELO,10.0,0.0,9.0,18.0,13.0
DAVID PERRON,11.0,9.0,0.0,16.0,21.0
DAVID BACKES,0.0,18.0,16.0,0.0,30.0
TJ OSHIE,10.0,13.0,21.0,30.0,0.0
