,MARTIN HANZAL,MIKKEL BOEDKER,KEITH YANDLE,LAURI KORPIKOSKI,SHANE DOAN,RADIM VRBATA,RAY WHITNEY
MARTIN HANZAL,0.0,4.0,3.0,0.0,8.0,23.0,24.0
MIKKEL BOEDKER,0.0,0.0,9.0,4.0,8.0,0.0,0.0
KEITH YANDLE,0.0,0.0,0.0,2.0,16.0,11.0,12.0
LAURI KORPIKOSKI,0.0,0.0,0.0,0.0,12.0,5.0,7.0
SHANE DOAN,0.0,0.0,0.0,0.0,0.0,8.0,18.0
RADIM VRBATA,0.0,0.0,0.0,0.0,0.0,0.0,57.0
RAY WHITNEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
