,SAKU KOIVU,RYAN GETZLAF,BOBBY RYAN,TEEMU SELANNE,COREY PERRY
SAKU KOIVU,0.0,0.0,10.0,23.0,6.0
RYAN GETZLAF,0.0,0.0,12.0,19.0,45.0
BOBBY RYAN,10.0,12.0,0.0,18.0,15.0
TEEMU SELANNE,23.0,19.0,18.0,0.0,19.0
COREY PERRY,6.0,45.0,15.0,19.0,0.0
